"Time","Message","Severity"
"12/20/2018 4:19 PM","C:\Users\Music Director\Documents\mstest\EN-The Rooster 12.17.18 14 for KDKD-FM only\SPOT FPDV3641000.mp3 >> C:\Users\Music Director\Documents\testspots\3926.wav","Information"
"12/20/2018 4:19 PM","C:\Users\Music Director\Documents\mstest\EN-The Rooster REVISED 12.10.18 7 for KDKD-FM only\SPOT FPDV3641000.mp3 >> C:\Users\Music Director\Documents\testspots\3926.wav","Information"
"12/20/2018 4:19 PM","C:\Users\Music Director\Documents\mstest\WU-Earl Pitts 12.17.18 5 - revision 1 for KDKD-FM only\SPOT FPDV3641000.mp3 >> C:\Users\Music Director\Documents\testspots\3926.wav","Information"
"12/20/2018 4:19 PM","C:\Users\Music Director\Documents\mstest\WU-Earl Pitts 12.17.18 5 for KDKD-FM only\Ford FPDV3641000.mp3 >> C:\Users\Music Director\Documents\testspots\3926.wav","Information"
"12/20/2018 4:19 PM","C:\Users\Music Director\Documents\mstest\WU-The Daily Aardvark 12.17.18 1 for KDKD-AM only\SPOT FPDV3641000.mp3 >> C:\Users\Music Director\Documents\testspots\3926.wav","Information"
"12/20/2018 4:19 PM","C:\Users\Music Director\Documents\mstest\CBS NEWS 12.17.18 9 - revision 1 for KDKD-AM only\SPOT CIVS8859000.mp3 >> C:\Users\Music Director\Documents\testspots\3005.wav","Information"
"12/20/2018 4:19 PM","C:\Users\Music Director\Documents\mstest\CBS NEWS 12.17.18 9 for KDKD-AM only\Spot CIVS8859000.MP3 >> C:\Users\Music Director\Documents\testspots\3005.wav","Information"
"12/20/2018 4:19 PM","C:\Users\Music Director\Documents\mstest\EN-The Rooster 12.17.18 14 for KDKD-FM only\SPOT CIVS8859000.mp3 >> C:\Users\Music Director\Documents\testspots\3005.wav","Information"
"12/20/2018 4:19 PM","C:\Users\Music Director\Documents\mstest\EN-The Rooster 12.17.18 14 for KDKD-FM only\SPOT FPDV3641000.mp3 >> C:\Users\Music Director\Documents\testspots\3926.wav","Information"
"12/20/2018 4:19 PM","C:\Users\Music Director\Documents\mstest\EN-The Rooster REVISED 12.10.18 7 for KDKD-FM only\SPOT FPDV3641000.mp3 >> C:\Users\Music Director\Documents\testspots\3926.wav","Information"
