"Time","Message","Severity"
"12/20/2018 3:40 PM","C:\Users\Music Director\Documents\mstest\WU-Earl Pitts 12.17.18 5 for KDKD-FM only\SPOT QRPI0172000.mp3 >> C:\Users\Music Director\Documents\testspots\3016.wav","Information"
"12/20/2018 3:40 PM","C:\Users\Music Director\Documents\mstest\WU-Earl Pitts 12.17.18 5 - revision 1 for KDKD-FM only\SPOT VP-BC230-1313.mp3 >> C:\Users\Music Director\Documents\testspots\3015.wav","Information"
"12/20/2018 3:40 PM","C:\Users\Music Director\Documents\mstest\WU-Earl Pitts 12.17.18 5 for KDKD-FM only\SPOT VP-BC230-1313.mp3 >> C:\Users\Music Director\Documents\testspots\3015.wav","Information"
"12/20/2018 3:40 PM","C:\Users\Music Director\Documents\mstest\WU-The Daily Aardvark 12.17.18 1 for KDKD-AM only\SPOT VP-BC230-1313.mp3 >> C:\Users\Music Director\Documents\testspots\3015.wav","Information"
"12/20/2018 3:40 PM","C:\Users\Music Director\Documents\mstest\WU-Earl Pitts 12.17.18 5 - revision 1 for KDKD-FM only\SPOT YKHT8163000.mp3 >> C:\Users\Music Director\Documents\testspots\3017.wav","Information"
"12/20/2018 3:40 PM","C:\Users\Music Director\Documents\mstest\WU-Earl Pitts 12.17.18 5 for KDKD-FM only\KOHLS WRAP UP HOLIDAY SHOPPING YKHT8163000.mp3 >> C:\Users\Music Director\Documents\testspots\3017.wav","Information"
"12/20/2018 3:40 PM","C:\Users\Music Director\Documents\mstest\WU-The Daily Aardvark 12.17.18 1 for KDKD-AM only\SPOT YKHT8163000.mp3 >> C:\Users\Music Director\Documents\testspots\3017.wav","Information"
"12/20/2018 3:40 PM","C:\Users\Music Director\Documents\mstest\EN-The Rooster 12.17.18 14 for KDKD-FM only\SPOT FPDV3641000.mp3 >> C:\Users\Music Director\Documents\testspots\3926.wav","Information"
"12/20/2018 3:40 PM","C:\Users\Music Director\Documents\mstest\EN-The Rooster REVISED 12.10.18 7 for KDKD-FM only\SPOT FPDV3641000.mp3 >> C:\Users\Music Director\Documents\testspots\3926.wav","Information"
"12/20/2018 3:40 PM","C:\Users\Music Director\Documents\mstest\WU-Earl Pitts 12.17.18 5 - revision 1 for KDKD-FM only\SPOT FPDV3641000.mp3 >> C:\Users\Music Director\Documents\testspots\3926.wav","Information"
"12/20/2018 3:40 PM","C:\Users\Music Director\Documents\mstest\WU-Earl Pitts 12.17.18 5 for KDKD-FM only\Ford FPDV3641000.mp3 >> C:\Users\Music Director\Documents\testspots\3926.wav","Information"
"12/20/2018 3:40 PM","C:\Users\Music Director\Documents\mstest\WU-The Daily Aardvark 12.17.18 1 for KDKD-AM only\SPOT FPDV3641000.mp3 >> C:\Users\Music Director\Documents\testspots\3926.wav","Information"
"12/20/2018 3:40 PM","C:\Users\Music Director\Documents\mstest\WU-The Daily Aardvark 12.17.18 1 for KDKD-AM only\SPOT QRPI0216000.mp3 >> C:\Users\Music Director\Documents\testspots\3018.wav","Information"
"12/20/2018 3:40 PM","C:\Users\Music Director\Documents\mstest\WU-Earl Pitts 12.17.18 5 - revision 1 for KDKD-FM only\SPOT VP-BC230-1313.mp3 >> C:\Users\Music Director\Documents\testspots\3015.wav","Information"
"12/20/2018 3:40 PM","C:\Users\Music Director\Documents\mstest\WU-Earl Pitts 12.17.18 5 for KDKD-FM only\SPOT VP-BC230-1313.mp3 >> C:\Users\Music Director\Documents\testspots\3015.wav","Information"
"12/20/2018 3:40 PM","C:\Users\Music Director\Documents\mstest\WU-The Daily Aardvark 12.17.18 1 for KDKD-AM only\SPOT VP-BC230-1313.mp3 >> C:\Users\Music Director\Documents\testspots\3015.wav","Information"
"12/20/2018 3:40 PM","C:\Users\Music Director\Documents\mstest\WU-Earl Pitts 12.17.18 5 - revision 1 for KDKD-FM only\SPOT YKHT8163000.mp3 >> C:\Users\Music Director\Documents\testspots\3017.wav","Information"
"12/20/2018 3:40 PM","C:\Users\Music Director\Documents\mstest\WU-Earl Pitts 12.17.18 5 for KDKD-FM only\KOHLS WRAP UP HOLIDAY SHOPPING YKHT8163000.mp3 >> C:\Users\Music Director\Documents\testspots\3017.wav","Information"
"12/20/2018 3:40 PM","C:\Users\Music Director\Documents\mstest\WU-The Daily Aardvark 12.17.18 1 for KDKD-AM only\SPOT YKHT8163000.mp3 >> C:\Users\Music Director\Documents\testspots\3017.wav","Information"
"12/20/2018 3:40 PM","C:\Users\Music Director\Documents\mstest\Intertech - 28 Minute - Extended 12.17.18 for KDKD-AM only\QMAY-9799-NS1.mp3 >> C:\Users\Music Director\Documents\testspots\3927.wav","Information"
"12/20/2018 3:40 PM","C:\Users\Music Director\Documents\mstest\Intertech - 28 Minute - Extended 12.17.18 for KXEA-FM only\QMAY-9799-NS1.mp3 >> C:\Users\Music Director\Documents\testspots\3927.wav","Information"
"12/20/2018 3:40 PM","C:\Users\Music Director\Documents\mstest\Intertech - 28 Minute - Extended 12.17.18 for KDKD-AM only\QMAY-9801-NS1.mp3 >> C:\Users\Music Director\Documents\testspots\3929.wav","Information"
